1414, 607
1415, 882
1416, 1383
1417, 694
1418, 826
1419, 1582
1420, 714
1421, 2267
1422, 971
1423, 843
1424, 450
1425, 5650
1426, 699
1427, 2070
1428, 1253
1429, 1259
1430, 1469
1431, 936
1432, 1090
1433, 831
1434, 485
1435, 870
1436, 652
1437, 1803
1438, 1484
1439, 1908
1440, 1029
1441, 607
1442, 769
1443, 709
1444, 430
1445, 1463
1446, 600
1447, 1850
1448, 1051
1449, 1085
1450, 667
1451, 916
1452, 593
1453, 703
1454, 1804
1455, 807
1456, 686
1457, 1436
1458, 1007
1459, 1968
1460, 713
1461, 1532
1462, 985
1463, 1614
1464, 553
1465, 1685
1466, 842
1467, 1385
1468, 1020
1469, 965
1470, 1678
1471, 496
1472, 1627
1473, 1219
1474, 1263
1475, 653
1476, 401
1477, 1053
1479, 380
1480, 941
1481, 780
1482, 558
1483, 1714
1484, 11819
1485, 1309
1486, 751
1487, 1545
1488, 780
1489, 640
1490, 773
1491, 647
1492, 368
1493, 1181
1494, 1031
1495, 2350
1496, 1358
1498, 674
1499, 1592
1500, 824
1501, 1161
1502, 1912
1503, 580
1504, 1372
1505, 935
1506, 1841
1507, 1308
1508, 2910
1509, 1262
1510, 1656
1511, 658
1512, 978
1513, 997
1514, 739
1515, 530
1516, 1300
1517, 822
1518, 1573
1519, 712
1520, 1141
1521, 1857
1522, 952
1524, 771
1525, 366
1526, 838
1527, 1437
1528, 726
1529, 2985
1530, 1882
1531, 1805
1532, 3114
1533, 2584
1534, 2659
1535, 481
1537, 1617
1538, 937
1539, 918
1540, 1057
1541, 1107
1542, 650
1544, 764
1545, 647
1546, 788
1547, 2520
1548, 3018
1549, 3465
1550, 1136
1551, 1521
1552, 1421
1553, 1788
1554, 859
1555, 853
1556, 494
1557, 922
1558, 727
1559, 2690
1560, 731
1561, 1596
1562, 1823
1563, 2913
1564, 1850
1565, 468
1566, 514
1567, 995
1568, 734
1569, 1301
1570, 784
1571, 940
1572, 1094
1573, 2155
1574, 871
1575, 1438
1576, 1059
1577, 1363
1578, 548
1579, 819
1580, 652
1581, 1415
1582, 823
1583, 918
1584, 276
1585, 1217
1586, 776
1587, 1407
1588, 1052
1589, 929
1590, 1690
1591, 898
1592, 943
1593, 750
1594, 1143
1595, 882
1596, 1079
1597, 904
1598, 1234
1599, 759
1600, 480
1601, 1182
1602, 1943
1603, 881
1604, 410
1605, 946
1606, 603
1607, 1453
1608, 702
1609, 1463
1610, 1336
1611, 2894
1612, 387
1614, 1873
1615, 1102
1616, 806
1617, 586
1618, 850
1619, 4815
1620, 1558
1622, 1132
1623, 2024
1624, 528
1625, 1451
1626, 450
1627, 1928
1628, 1048
1629, 474
1630, 872
1631, 2093
1632, 908
1633, 3719
1634, 1716
1635, 1292
1636, 1032
1637, 1809
1638, 1053
1639, 698
1640, 775
1641, 1345
1642, 573
1643, 1009
1644, 2201
1645, 757
1646, 499
1647, 1180
1648, 888
1649, 1159
1650, 1282
1651, 621
1652, 540
1653, 661
1654, 468
1655, 767
1656, 495
1657, 656
1658, 1286
1659, 1817
1660, 920
1661, 1021
1662, 1566
1664, 2155
1665, 294
1666, 746
1667, 1168
1668, 958
1669, 1330
1670, 683
1671, 853
1672, 617
1674, 925
1675, 626
1676, 566
1677, 1008
1678, 2283
1679, 1053
1680, 1163
1681, 812
1682, 814
1684, 2196
1685, 325
1686, 1026
1687, 767
1688, 1196
1689, 445
1690, 1034
1691, 1023
1692, 1062
1693, 1160
1694, 982
1695, 2017
1696, 708
1697, 1348
1698, 617
1699, 2670
1700, 866
1701, 390
1702, 1128
1703, 1043
1704, 868
1705, 1758
1706, 1406
1707, 2186
1708, 1168
1709, 449
1710, 1497
1711, 879
1712, 1439
1713, 1970
1714, 1852
1715, 1249
1716, 1504
1717, 906
1718, 1755
1719, 893
1720, 805
1721, 1082
1722, 704
1723, 895
1724, 809
1725, 914
1726, 1027
1727, 466
1728, 784
1729, 1165
1730, 27370
1731, 1029
1732, 1295
1733, 1679
1734, 1664
1735, 383
1736, 1623
1737, 744
1738, 654
1739, 1589
1740, 814
1741, 2085
1742, 512
1744, 1053
1745, 1289
1746, 1423
1747, 577
1748, 1126
1749, 721
1750, 623
1751, 1587
1752, 1126
1754, 1017
1755, 998
1756, 1675
1757, 902
1758, 1737
1759, 1843
1760, 1051
1761, 1657
1762, 1575
1763, 1076
1764, 1461
1765, 2270
1766, 336
1767, 2759
1768, 1101
1769, 1115
1770, 1281
1771, 938
1772, 1179
1773, 494
1774, 1454
1775, 660
1776, 694
1777, 689
1778, 2447
1779, 1582
1780, 2626
1781, 1163
1782, 1482
1783, 1401
1784, 735
1785, 813
1786, 771
1787, 631
1788, 1576
1789, 808
1790, 1237
1791, 1169
1792, 2187
1793, 650
1794, 1058
1795, 2680
1797, 376
1798, 1717
1799, 2136
1800, 1745
1801, 1157
